id,sent0,sent1,label-false,perplexity,predicted_false
292,They stored food in the fridge in summer,They stored food in the ground in summer,1,813694.8257305862,0.0
7,dogs can live underwater,shrimps can live underwater,0,754851.2648353247,0.0
800,the family adopted a dinosaur to be their new pet,the family adopted a dog to be their new pet,0,2633669.8634046093,0.0
1177,Something you find at a home is a t.v.,Something you find at the road is a t.v.,1,7467214.81771817,0.0
259,Mowing the lawn requires zero people to accomplish the task.,Mowing the lawn requires peoples to accomplish the task.,0,6643011.300330531,1.0
274,It is hard to see the stars at night in places with air pollution.,It is easy to see the stars on a clear day.,1,6991803.818146171,1.0
1031,she sipped a coffee,she sipped a shoe,1,15050334.605872532,1.0
377,Helicopters land without runways.,Helicopters can speak English,1,1342341.7532655804,0.0
1225,A normal person has 4 arms,A normal person has two arms,0,8317697.774897601,0.0
396,I finished my studies at school,I finished my studies inside the sewer,1,8600221.422463976,1.0
1860,I love to eat,Eating loves me,1,2960230.860800119,1.0
1500,The sun comes out at night,The sun is bigger than the earth,0,8228315.62121275,1.0
1625,You can use your eyes to see,You can use your eyes to eat,1,5478240.218661657,1.0
896,onions are grown under the ground,onions are grown in the tree,1,847897.1335678529,0.0
1704,Television is a form of news.,You can open a jar with your teeth.,1,12635444.130205777,1.0
1280,Milk that is drunk by humans is white,Beer that is drunk by humans is white,1,5086208.934522426,1.0
125,You should leave the lights on when you leave the room.,You should turn the lights off when you leave the room.,0,8304817.648823025,1.0
1509,You can dance anywhere.,You can dance in your own room,0,4871685.709673051,0.0
458,A train is used for sailing,A train is used for traveling,0,991413.1940405347,1.0
697,The boy wore his new shoes on his back.,The boy wore his new shoes on his feet.,0,9015860.387488112,1.0
1483,He prays before sleeping.,He drinks energy drinks before sleeping,1,6389045.516299656,1.0
317,I use grass to cut my lawnmower.,I use a lawnmower to cut my grass.,0,3996260.3138770326,0.0
757,the owner of the restaurant apologized for the good customer service,the owner of the restaurant apologized for the terrible customer service,0,5538662.709221216,0.0
770,she eats an egg for breakfast every day,she eats a table for breakfast every day,1,2541023.2001367803,1.0
1976,Molly turned the AC on,Molly ordered the AC on,1,861077.1039743779,1.0
970,the comedian performed magic tricks,the comedian made some jokes,0,1257649.4011803684,0.0
1712,SHE EAT A MOBILE PHONE,SHE eats AN APPLE,0,15458019.038130894,1.0
82,Dolphins are fish.,Dolphins are mammals.,0,3944398.7129013566,0.0
438,"in summers, always the weather is rainy.","in summers, always the weather is cold.",1,3210430.100861607,0.0
1581,The flowers bloomed in the spring.,The animals bloomed in the spring,1,1453083.6245979432,1.0
1269,The stone can float on the water,The wood can float on the water,0,10066901.173329681,1.0
255,He hide his shoes in the closet.,He hide a lion in the closet.,1,1308525.6732068933,0.0
717,A soldier fired with a revolver.,A soldier shot with a guitar.,1,4687279.961403673,1.0
1505,Breakfast is eating during the night.,Breakfast is eaten in the morning.,0,9573821.449752972,1.0
999,It is easy to find seashells in the forest,It is easy to find seashells by the ocean,0,1142618.8991072744,1.0
247,She went to college to learn how to drive a car,She went to college to get a degree in criminology,0,9438363.807589134,1.0
1784,He wants to fly.,He can fly.,1,17888641.45255088,1.0
226,The library is on a street corner downtown,The library is under a river downtown,1,594823.2336808211,1.0
1843,short is life,Life is short,0,8199989.256901085,1.0
1122,Water is not healthy.,"Water is a clear, colorless, odorless and tasteless liquid.",0,2145825.329415318,0.0
860,a correct diet is good for your health,eating trash food every day makes you stronger,1,18873604.51908588,1.0
1490,People like to eat land,People like to eat pizza,0,1354887.952115982,1.0
1448,Readers read fiction novels to immerse themselves in the author's fictitious world.,The reality readers live in is the same as the fictitious worlds authors create in fiction novels.,1,5993338.798449359,1.0
1645,He rides rockets all days,He rides a bike all days,0,1108146.7010387594,1.0
1718,Boats float on water.,Planes float on water.,1,43073344.94444123,1.0
1689,I can lit a car,I can lift a trash can.,0,3060093.8587131375,1.0
877,if you want to relax then you should go lie down,standing up for long hours is relaxing,1,827672.8867651357,0.0
1692,A stove sits on a pan,A pan sits on a stove.,0,2868035.2286502165,0.0
780,I would like to fry a laptop,I would like to buy a laptop,0,2791521.32344861,0.0
1092,The goldfish ate a cat.,The cat ate a goldfish.,0,32774786.03206278,0.0
569,I put the leftover food in the fridge.,I put the leftover food in the oven.,1,1543045.3655674316,1.0
1410,Lasagna is often eaten during movies.,Popcorn is often eaten during movies.,0,1608619.440877194,1.0
1176,You are more likely to overeat on a full stomach.,You are more likely to overeat on an empty stomach.,0,14047250.499400105,1.0
870,the car had a significant amount of rust,the cow had a significant amount of rust,1,778954.6912092,1.0
166,She turned the light off.,She turned the sun off.,1,3468999.2738061473,0.0
795,I need to heat up some water using the refrigerator,I need to heat up some water using the microwave,0,9263014.984191606,1.0
242,The bird rented a room,The bird is tired,0,15700369.321451204,1.0
1661,he won the lottery,he always wins the lottery,1,1650140.450963704,0.0
728,The McLaren is a well-designed vehicle.,The apple is a well-designed vehicle.,1,869074.6030549455,1.0
916,people usually have their lunch in the morning,people usually have their dinner at night,0,310599.4155024761,0.0
294,The man slipped on the banana skin,The man slipped on the gentle breeze,1,734507.9516429394,0.0
919,the murder case remained unsolved,the murder case remained a happy event,1,12753918.374375602,1.0
1245,He went to a petrol station to write the exam,He went to the examination hall to write the exam,0,6809417.241474495,0.0
1032,only eating fried food makes your diet healthier,eating vegetables is a healthy part of your diet,0,8289506.403891878,0.0
1775,Amazon has gone bankrupt,Amazon is a big company,0,7162949.6127503915,0.0
997,her favorite organ is the kidney,her favorite organ is the telephone,1,10323730.647164445,1.0
746,The man went to the doctor because his back hurt,The man went to the doctor because he needed to buy bread,1,4992648.921403976,1.0
260,Fish swim in sand.,Fish swim in water.,0,2169250.7456459766,0.0
271,cake is not poisonous,lead is not poisonous,1,1091522.208209534,1.0
933,He put the cat in the fridge,He put an orange in the fridge,0,658834.5314884745,0.0
491,To be a doctor you must only obtain the faith and trust of your patients.,To be a doctor you must go to school for several years and earn a Ph.D.,0,1130787.7413863107,0.0
649,he put a person on the back and his bike,he put a giraffe on the back of his bike,1,7844912.164195512,0.0
1842,War is a good thing and benefits everyone.,War is evil.,0,14830148.076220393,1.0
71,graphs have been known to cause cancer,graphs can track numeric information,0,6826452.707038399,1.0
341,The worm swallowed the bird.,The bird swallowed the worm.,0,27777691.84572568,1.0
777,he put some cooking oil in his wine,he put some ice in his wine,0,926730.4539107417,0.0
1817,I'saw a bird on the bike,I saw an elephant on a bicycle.,1,11466321.98951628,1.0
760,the bird flew away,the cow flew away,1,13519883.508801987,1.0
839,the TV program entertains the fish,the TV program entertains many people,0,2406168.713791113,1.0
587,Jerry has orange serfs with flamingos printed on them.,Jerry has orange undies with flamingos printed on them.,0,17912097.171464454,0.0
362,His glasses are blurry so he wipes them clean,His glasses are clear so he wipes them clean,1,44236574.61007725,1.0
1716,Zebra swim in the water,Fish swim in the water,0,312260.25028996763,0.0
892,he went for a walk in the woods and was bitten by a shark,he went for a walk in the woods and tripped on a rock,0,4599698.132617123,1.0
25,Some chocolate bars are molded metal.,Some bars are molded metal.,0,2661895.4131529536,1.0
1745,He puts the monkeys in the cup.,He puts coffee into the cup.,0,7825335.125173883,1.0
1955,The washing machine cleaned the dirty clothes,The refrigerator cleaned the dirty clothes,1,1446963.1393302938,0.0
1791,An apple took a bite out of him.,He took a bite of an apple.,0,1641534.392821501,0.0
1650,He put a car into a fridge,He put butter into a fridge,0,5647019.765181497,1.0
1722,Winter is a good time to wear short dresses.,people usually wear a coat in the winter,0,705280.2746031802,0.0
1778,A duck is floating in the pond.,An anvil is floating in the pond.,1,1144373.5502384147,0.0
1836,He rides his bike.,He rides his apple.,1,139928662.2414783,1.0
1887,It usually snows in Cuba,It usually snows in New England,0,1041749.3589220671,0.0
329,The park ran to him,He ran to the park,0,2637440.054372331,1.0
1697,he swapped a Corvette engine into a honda s2000,he put a semi-truck engine in the s2000,1,756538.3918135382,0.0
1390,The zookeeper feeds the animals.,Zookeeper is working at the hospital,1,885211.2367617822,0.0
407,The boy broke his tooth on a mango pit.,The boy broke his tooth on a banana pit.,1,2005532.6613310038,0.0
1724,He wrote a book using his hands.,He wrote a book by signing,1,5282433.81392318,0.0
1421,winter comes in the same time each year,winter comes in different time each year,0,5972512.785751125,1.0
397,he likes to lay video games.,The video game ran away.,1,3970572.363803146,1.0
675,Hair can be cut at the pharmacy.,Medicine is sold at the pharmacy.,0,1283706.0972650824,0.0
2,when it is hot humidity forms,when it rains humidity forms,0,6940126.120989447,1.0
142,Snowmen are made of snow.,Snowmen are made of sand.,1,4113971.4375765542,1.0
853,he put the ice cream inside the fridge,he put the house into the fridge,1,958765.8984950562,0.0
1320,The man is in front of the city hall,City Hall adjusted to man's view,1,968951.5398526831,0.0
1042,she drove a car,she drove a pencil,1,7669172.709349349,0.0
907,I enter in a car,I enter in a bottle,1,4427799.939963547,1.0
1011,she eats an orange after her workout,she eats a pillow after her workout,1,2877053.562450482,1.0
261,It is cold and hot outside,It is cold outside,0,1339062.1637948775,0.0
620,The girl broke her lamp while ice skating.,The girl broke her arm while ice skating.,0,1532812.3542568688,0.0
326,It is good to drink milk at night,It is good to drink saltwater at night,1,867521.1378121427,0.0
1902,The boy won the race with a cheetah,The boy won the race with his friends,0,12369092.327371469,0.0
86,A home gives a person a sense of security,A home is a place for violence.,1,78874511.29482801,1.0
300,I hung a horse in my hallway.,I hung a painting of a horse in my hallway.,0,3178430.4982798845,0.0
570,Lobsters live in the ocean,Lobsters live in the mountains,1,1271171.514728235,1.0
68,Children go to school to learn,Children go to school to laugh,1,2102333.474342331,0.0
1531,She flew to church in her new car,She drove to church in her new car,0,847265.8382588852,0.0
1246,Blackberries and strawberries are berries.,Blackberries and strawberries are the same.,1,16747547.031309633,1.0
1690,The ocean consists of saltwater.,Freshwater fish can live in the ocean.,1,517294.8268311696,0.0
608,The men are mowing the lawn because the grass is getting long.,The men are mowing the lawn because it is raining.,1,2187234.122763408,1.0
1765,I took three Tylenol tablets to cure my headache.,I took 300 Tylenol tablets to cure my headache.,1,1540547.204904283,1.0
1205,Wheels are delicious for human taste,Chickens are delicious for human taste,0,52613755.72376908,1.0
586,CNN covers the news,CNN is for sports,1,710932.529772787,0.0
469,Going to a place that is too far to walk to requires other means of transportation,Going to a place that is too far to walk requires good tennis.,1,23202977.837669212,0.0
1276,She walks to the school everyday morning,She flies to the school everyday morning,1,4221632.824090597,1.0
1731,"That morning, Kate had dinner and left for work","That morning, Kate had breakfast and left for work",0,11138347.751497274,1.0
171,The wind pushes the tree upright,The wind blows over a tree,0,1687469.0297436726,0.0
474,A clown is in a circus,Circuses only have animals,1,379349.5447776391,0.0
1392,people can write what they heard,You need to see to write on paper.,1,18844432.26859058,1.0
1491,the child plays video games,the chair plays video games,1,1922203.4122191984,0.0
1627,social networks are for humans and robots,robots are omniscient such as humans,1,38537858.04082598,1.0
1702,A COW EAT A GRASS,A COW EAT A MOUNTAIN,1,50062875.49069745,1.0
1774,you can find fish in lakes,You can only find fish in the ocean,1,144527.43531193287,0.0
612,cars can be used for road drives,Boats can be used for road drives,1,1932065.3397228287,1.0
1743,My sister is a female,My sister is a male,1,1012046.5082412445,0.0
1504,The fish live in rivers.,the fish live in computers.,1,745489.4239010056,1.0
1278,he put a bird in the cage,he put a horse in the cage,1,8702627.18481599,1.0
312,All that is born must eventually die.,I will never die.,1,10497452.248657662,1.0
1431,Whales can swim,Whales can fly,1,1921860.642607674,0.0
1299,"When people cry,  tears come out of their ears","When people cry,  tears come out of their eyes",0,5912418.554198448,1.0
1534,There is a car in her purse,She put her purse in the front seat of the car,0,1130279.927525345,0.0
1138,The phone turned off because it ran out of battery power.,The human died because it ran out of juice.,1,5009346.305647037,1.0
1575,the lion likes ice cream,The kid likes ice cream,0,49521167.70828951,1.0
638,You are likely to find sandals in a shoe shop,You are likely to find Rice bags in a shoe shop,1,5106685.565094991,0.0
628,"After cutting my hair, the barber swept up hair that had fallen to the floor.","After cutting my hair, the barber shoveled snow that had fallen on the floor",1,2192837.782636729,0.0
1787,The boy sucked on the popsicle with his mouth.,The boy sucked on the popsicle with his nostril.,1,5035339.83879191,0.0
1909,People may consider you rude if you do not say please when asking for something.,People may consider you polite if you do not say please when asking for something.,1,19494308.07155335,1.0
653,He put on blue pants,He put his pants on a horse,1,17114122.901871655,1.0
1417,A congressman is well-payed,A scholar is well-payed,1,10038944.873886405,1.0
357,Cats walk on all four legs,Cats are bipedal creatures,1,15007479.913167464,1.0
1929,the clock shows animals,the clock shows the correct time,0,10230406.392193662,0.0
1604,he had a pair of air jordans for basketball game,he had Michael Jordan at the game,1,825791.6856087922,0.0
676,He sent some messages from the WhatsApp mobile application by his shoes,He sent some messages from the WhatsApp mobile application by his mobile,0,6657592.062660747,0.0
1558,A teacher is writing in the board by sack piece,A teacher is writing in the board by Blade,1,5075582.713361049,0.0
968,A stop sign is always red,A stop sign is always white,1,973498.4059682988,1.0
1553,Abuse is good and fun,She doesn't like being abused,0,7828201.373279994,1.0
447,People need fruit to live,Fruit needs people to live,1,4551393.7435226105,1.0
20,she was met with an accident and was rushed to the library,she was met with an accident and was rushed to the hospital,0,1470136.4029086826,0.0
108,Coffee is made from beans,Orange juice is made from beans,1,5861670.999207327,1.0
73,He opened the bottle to read it,He opened the book to read it.,0,1889769.3301188461,0.0
732,I am going for my family tour in one cycle,I am going for my family tour on one bus,0,10698372.532638166,0.0
845,he fed boulders to the monkey,he fed bananas to the monkey,0,13511015.645170381,0.0
414,Reading a book is a great way to go on a journey without leaving your home.,"Read a book and you'll be thrown into a world of lions, witches, and wardrobes, and have to fight for your life!",1,70893731.9849978,1.0
1393,She saw a boat flying over the river,She saw a boat in the river,0,2703888.9456272633,0.0
809,"the dog growled, then charged the boy","the dog growled, then taught the boy",1,339926.7666758269,0.0
1636,Restaurants are places to order food,Restaurants are places to cook your dinner.,1,7425947.449191011,1.0
1832,The child studied a lot to take a test.,The child studied a lot to open a door.,1,11484554.407592854,1.0
762,he put a bear into a pot,he put a flower into a pot,0,4926714.790900162,0.0
422,The protein bar ate me,I ate a protein bar,0,8188829.727266434,1.0
1956,My child likes to wear her bathing suit to school.,My child likes to wear her red dress to school.,0,11814765.384298319,0.0
1262,Anthony decided that he will kick the warm glass of water to the fridge.,Anthony concluded that he will put the warm glass of water in the fridge.,0,7006615.563320184,1.0
131,People can breathe in outer space without any mechanical aid or protection.,People can breathe on earth without any mechanical aid or protection.,0,2597526.1674331725,1.0
835,my son has two big hands,my son has four big hands,1,3752918.4826577883,1.0
1415,detergents are used to clean clothes,detergents are used in an investigation,1,288074.48379696027,0.0
1918,she put the salad in the bowl,she put the cat in the bowl,1,1435197.6395624906,0.0
1619,she put water in the freezer,she put the giraffe in the freezer,1,19387996.94989028,1.0
938,relatives bark at the dog,my dog barks at relatives,0,36795462.2112703,1.0
1788,She put some money in the oven.,She put a fish in the oven.,0,1555522.8910332657,0.0
1240,He shucked and oyster,He shucked a fish,1,16210775.806591567,1.0
1828,The pen ran out of ink,the ink ran out of the pen,1,48825906.02754172,1.0
413,My heater gets very hot,My heater cools a lot,1,2389218.0806218362,0.0
1656,I STOLE A BLUE CORVETTE,I STOLE A RED CAR,0,1949145.3904762561,0.0
1304,She is too timid so she loves to watch horror movies,She is too timid to watch horror movies,0,1852039.4240805567,1.0
1664,boys wear bra to provide support to their breasts,girls wear a bra to provide support to their breasts,0,3066330.84688934,0.0
526,The waterfall provided the children with an exciting slide down the rock.,The waterfall flowed up sending the children to the top of the rock.,1,1624834.7426649441,1.0
150,Joe wanted something to eat. He decided to drink a soccer ball.,Joe wanted something to eat. He decided to eat pizza.,0,17028390.39552858,1.0
993,the dog gave birth to puppies,the dog gave birth to hotdogs,1,5944486.903929863,1.0
1313,Basketball is played with the feet,Soccer is played with the feet,0,2125053.0553882513,0.0
647,he swims 1km each way every day,he swims with piranhas,1,19570158.705561515,1.0
1322,Flowers only need dirt to grow and nothing else.,Flowers need sunlight to grow.,0,6674406.827812478,1.0
197,dolphins are fast to fly,dolphins are fast to swim,0,1867061.861965048,1.0
591,We bought a painting from the farmer.,We bought fresh corn from the farmer.,0,1608624.0431809146,0.0
966,she put the car in the dog,she put the dog in the car,0,293006.68589172035,0.0
1012,going to the gym is a healthy habit,going to the gym does not help you stay healthy,1,5239901.20391243,1.0
1501,Japan is the main currency used in Yen.,Yen is the main currency used in Japan.,0,822300.0642626652,1.0
1131,Water quenches thirst.,Salt quenches thirst.,1,2615074.165541165,1.0
678,I tied my shoelaces with both hands,I tied my shoelaces with my shoulders,1,3271368.871560165,1.0
427,Something you find in a desk is tigers.,Something you find in a desk is highlighters.,0,10857482.879225716,0.0
743,He visited a doctor to cure his sickness,He went to a lawyer to cure his sickness,1,5249779.8936989205,0.0
1054,The bottle drunk out of the baby.,The baby drunk out of the bottle.,0,12673555.702976974,1.0
349,Most cars run on gasoline,Most kangaroos run on gasoline,1,10313004.65331565,0.0
602,Swimming is a common winter activity,Swimming is a common summer activity,0,166283.28273372728,0.0
799,the man took his suit to the dry cleaner,the man took his door to the dry cleaner,1,4520908.460147519,0.0
46,Mike got a new stove,The stove walk to the fire,1,1851191.821728916,1.0
988,the cow eats the bike,the cow eats the grass,0,51975104.68687384,0.0
827,all watermelons have water,all watermelons have seeds,1,5465512.576110157,1.0
1376,Schools often have a mathematics department,Schools often have operation theater,1,609654.8116029458,0.0
1750,She put water in a cage,She put a mouse in a cage.,0,16954595.89883438,1.0
147,Cars stop at a red light.,Cars stop at a green light.,1,691489.8660985131,1.0
48,A cat dropped from a plane wearing a parachute will land on the tip of its' tail.,A cat dropped from a plane wearing a parachute will land on its' feet.,0,60865157.818771735,1.0
580,He runs his heater when it's hot outside,He runs his air conditioner when it's hot outside,0,2555046.668620718,0.0
455,Sweating is a body mechanism to look cool,Sweating is a body mechanism to cool down,0,12480854.909191467,1.0
1676,every person take stones for breakfast,every person take food for breakfast,0,1473637.2306889798,0.0
286,I put clothes into the washing machine.,I put bricks into the washing machine.,1,5961353.696971742,1.0
1004,Jimmy got his leg bitten off by a shark,Jimmy got his leg bitten off by a kitten,1,2142484.0855921847,1.0
1895,Internet helps people stay connected,the Internet will disperse people,1,200384274.1483457,1.0
1789,She put water in the bucket.,She put a building in the bucket.,1,7935584.126773294,0.0
1948,Video game consoles are hard to see nowadays.,Video game consoles can be seen without contact lenses only,1,1575821.8658566726,1.0
634,I talked to my friend in the bark.,I talked to my friend in the park.,0,7424941.882459619,0.0
973,he turned the light on,he turned the table on,1,17138720.438532505,1.0
979,he installed the carpet on the floor,he installed the carpet on the lake,1,719654.4816825434,0.0
22,She erased a campfire with an eraser.,She erased a chalkboard with an eraser.,0,3804540.3556245244,0.0
336,The rotary phone recorded me.,The cell phone recorded me.,0,4042572.69652334,1.0
472,I live 100 miles from Saturn.,I live 100 miles from my birth location.,0,53967991.15355066,1.0
372,He pet his dog gently,He pet his pterodactyl gently,1,122011871.61096685,1.0
1282,"If I put the light on,  it won't be dark anymore.","If it's dark,  I must put the light off.",1,4562732.331599439,0.0
36,she baked a chicken at Christmas,she baked a horse at Christmas,1,6838422.449452026,1.0
1427,My husband is addicted to bananas,bananas are addicted to my husband,1,1588847.7571208943,0.0
978,I walk and moves,I walk without moving,1,333604694.4409453,1.0
1928,Mammals include alligators,A giraffe is a mammal,0,167210953.76359865,1.0
1197,Mathematicians can solve math problems.,Mathematicians can play football very well,1,2441914.5985697736,1.0
1413,She can make the rainfall.,She can hear the rainfall.,0,6718721.487996883,0.0
233,Observatories are located at the top of the mountain,Observatories are located at the bottom of the ocean.,1,1036752.2081626757,0.0
1829,She put a stove on the plate.,She put a soup on the plate.,0,2899892.3500171877,1.0
872,smoking is injurious to health,smoking will cherish your health,1,16599761.911155878,1.0
1128,If I want ride a motorcycle I needn't wear the helmet.,If I want ride a motorcycle I must wear the helmet.,0,9433288.538049141,0.0
575,The human is the fastest mammal on the planet,The cheetah is the fastest mammal on the planet,0,20575370.90667671,1.0
724,The robot felt sad,The monkey felt sad,0,16339975.32552337,0.0
550,Babies are affected heavily by their environments.,Babies are unaware of their surroundings and reap no harm from the negativity around them.,1,32394554.64963571,1.0
1481,The mother carried her 3-day old newborn baby to the car.,The 3-day old newborn baby walked to the car.,1,1089279.1724546978,0.0
1770,a war is fought for solution,There is peace during war,1,1853665.0801728242,0.0
238,Ice is a highly concentrated form of nutrition.,Nuts are a highly concentrated form of nutrition.,0,1140512.3004356385,0.0
902,the smartphone is a device used for communication,the smartphone is a device used for transportation,1,2755430.9041050524,0.0
824,a watermelon contains more water than a banana,a banana contains more water than a watermelon,1,18604117.942013342,1.0
319,She fell down the stairs and broke her knee,She fell up the stairs and broke her knee,1,671873.7291861721,0.0
773,I got ready for bed so I drank a cup of coffee,I got ready for bed so I washed my face,0,4088942.1211692765,0.0
424,the man fed the snake a mouse,the man fed the mouse a snake,1,22064721.643867478,0.0
1772,A neighbor is a person who lives far from you,A neighbor is a person who lives next to you,0,4328721.105197542,0.0
545,the pharmacy sell medications,the pharmacy sell pets,1,4267495.445171946,0.0
288,The sky is blue,The sky is orange,1,20704140.632730212,1.0
753,my brother waters his phone every morning,my brother waters his flowers every morning,0,17212101.599572446,1.0
119,she rides the public bus to school,she drives the public bus to school,1,1576567.4413167269,1.0
1701,the driver brakes when seeing the red signal,the driver accelerates when seeing the red signal,1,927006.2402363428,0.0
1874,the snake runs on his feet,the snake crawls on his body,0,4990497.249994559,0.0
76,the moon is falling from the sky,A moon didn't fall from the sky,0,40485124.15998343,1.0
1020,"if you don't brush your teeth, you get dark","if you don't brush your teeth, you will get Oral Diseases",0,8070758.686395375,1.0
1264,my sister walks to work today,my sister flies to work today,1,2870213.251784007,0.0
241,Eating pizza requires a pizza,Eating pizza requires a masters degree,1,2780434.0302991304,1.0
1242,He put a gorilla into a box,He put old clothes into a box,0,2323596.029658708,0.0
75,My professor had us write an essay on The National Monument.,My son had us write an essay on The National Monument.,1,1702203.325862515,0.0
446,Artificial flowers in my flower vase wilts soon,Fresh flowers in my flower vase wilts soon,0,6135273.644436981,0.0
648,I play games on my shoes,I play games on my phone,0,2232933.7597690495,0.0
568,He walked a dog on a leash in the park,He walked a rock in the park,1,3603884.0896027284,0.0
1736,A cat eats a building,A cat eats a fish,0,77936268.29596804,1.0
1879,grass grows in the water,grass grows on the ground,0,138254.71550577277,0.0
1574,The school is for learning,the store is for learning,1,1823274.0491656598,1.0
911,she cooked mosquitos and ants for dinner,she cooked pasta and sushi for dinner,0,850178.8829758972,0.0
